,summary,rank,years_on_force,disciplined,category,allegation_name,verbal_abuse,verbal_abuse_weight
121,"In an incident involving two off-duty CPD Officers (A and B) and three Complainants/adopted minor children (1, 2, and 3), it was alleged that, during the course of several law enforcement investigations regarding the abuse and/or neglect of Officer Bs three adopted minor children, Officer A made false reports to medical personnel and/or law enforcement, physically maltreated Complainant 1/adopted minor child on an unspecified time and date between June and July of 2008, physically maltreated Complainant 1/adopted minor child on April 29, 2009, November 13, 2009, one week prior to November 15, 2009, and one month prior to November 15, 2009. Officer A is also alleged to have physically maltreated Complainant 2/adopted minor child on February 24, 2009, on or about November 15, 2009, and physically maltreated Complainant 3/adopted minor child on or on about November 15, 2009. Also, it was alleged that Officer B on three separate occasions in 2009 failed to summit a written report that she was under investigation by the Illinois Department of Children and Family Services (DCFS), made false reports to medical personnel and/or law enforcement officials during the course of several law enforcement investigations regarding abuse and/or neglect of the Complainants/adopted minor children, failed to seek timely medical treatment for Complainant 1/adopted minor child on an unspecified date between June and July of 2008, on April 29, 2009, one week prior to November 15, 2009, and one month prior to November 15, 2009, physically maltreated and/or failed to protect Complainant 1/adopted minor child from harm on an unspecified date between June and July of 2008, on approximately April 29, 2009, November 13, 2009, one week prior to November 15, 2009 and one month prior to November 15, 2009, physically maltreated and/or failed to protect Complainant 1/adopted minor child by failing to administer prescribed medication to him, physically maltreated and/or failed to protect Complainant 2/adopted minor child from harm on February 24, 2009 and on November 15, 2009, and physically maltreated and/or failed to protect Complainant 3/adopted minor child from harm on November 15, 2009.",Police Officer,20,True,Domestic,Domestic Altercation - Physical Abuse,0,0
122,"Complainant and Civilian 1 were involved in a physical altercation outside of Restaurant A. A woman claimed that the assailants were Chicago police officers. Officers A, B, and C responded to the scene. They did not search for witnesses, did not properly document the encounter, and did not render aid.",Police Officer,15,True,Use Of Force,Knee Strike,0,0
124,"Complainant and Civilian 1 were involved in a physical altercation outside of Restaurant A. A woman claimed that the assailants were Chicago police officers. Officers A, B, and C responded to the scene. They did not search for witnesses, did not properly document the encounter, and did not render aid.",Police Officer,18,True,Use Of Force,Knee Strike,0,0
125,"Complainant and Civilian 1 were involved in a physical altercation outside of Restaurant A. A woman claimed that the assailants were Chicago police officers. Officers A, B, and C responded to the scene. They did not search for witnesses, did not properly document the encounter, and did not render aid.",Police Officer,16,True,Use Of Force,Knee Strike,0,0
127,"In an incident involving two off-duty CPD Officers (A and B) and three Complainants/adopted minor children (1, 2, and 3), it was alleged that, during the course of several law enforcement investigations regarding the abuse and/or neglect of Officer Bs three adopted minor children, Officer A made false reports to medical personnel and/or law enforcement, physically maltreated Complainant 1/adopted minor child on an unspecified time and date between June and July of 2008, physically maltreated Complainant 1/adopted minor child on April 29, 2009, November 13, 2009, one week prior to November 15, 2009, and one month prior to November 15, 2009. Officer A is also alleged to have physically maltreated Complainant 2/adopted minor child on February 24, 2009, on or about November 15, 2009, and physically maltreated Complainant 3/adopted minor child on or on about November 15, 2009. Also, it was alleged that Officer B on three separate occasions in 2009 failed to summit a written report that she was under investigation by the Illinois Department of Children and Family Services (DCFS), made false reports to medical personnel and/or law enforcement officials during the course of several law enforcement investigations regarding abuse and/or neglect of the Complainants/adopted minor children, failed to seek timely medical treatment for Complainant 1/adopted minor child on an unspecified date between June and July of 2008, on April 29, 2009, one week prior to November 15, 2009, and one month prior to November 15, 2009, physically maltreated and/or failed to protect Complainant 1/adopted minor child from harm on an unspecified date between June and July of 2008, on approximately April 29, 2009, November 13, 2009, one week prior to November 15, 2009 and one month prior to November 15, 2009, physically maltreated and/or failed to protect Complainant 1/adopted minor child by failing to administer prescribed medication to him, physically maltreated and/or failed to protect Complainant 2/adopted minor child from harm on February 24, 2009 and on November 15, 2009, and physically maltreated and/or failed to protect Complainant 3/adopted minor child from harm on November 15, 2009.",Police Officer,20,True,Domestic,Domestic Altercation - Physical Abuse,0,0
128,"On March 2, 2010, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on March 2, 2010 in the 2nd District, involving an on-duty Chicago Police Department (CPD) Detective (Detective A) and Officer (Officer B). It was alleged that Detective A became combative towards Officer B and had to be restrained; directed profanities at Officer B; verbally abused Officer B; and by his overall actions brought discredit on the department. It was alleged that Officer B directed profanities at Detective A and attempted to provoke Detective A into a physical altercation. Based on statements from the accused members and witnesses, and department reports, IPRA recommended to SUSTAIN the allegations that Detective A became combative towards Officer B and had to be restrained; directed profanities at Officer B; verbally abused Officer B; and by his overall actions brought discredit on the department. IPRA recommended a finding of UNFOUNDED for the allegations that Officer B directed profanities at Detective A and attempted to provoke Detective A into a physical altercation. IPRA recommended a ten (10) day suspension for DETECTIVE A.",Police Officer as Detective,27,True,Verbal Abuse,Sexual Orientation,1,7
132,"An incident involving an off-duty Chicago Police Officer and the Complainant/Spouse, it was alleged that the Officer harassed the Complainant/Spouse via text messages, used department records to run name checks on acquaintances of the Complainant/Spouse, and hacked the Complainants/Spouses e-mail accounts.",Police Officer,26,True,Domestic,Harassment,1,3
133,"In an incident involving two on-duty CPD Officers (Officers A and B), and a Complainant, it was alleged that Officer A struck the Complainant on the right side of the face without justification, unlawfully searched the Complainant, and failed to document his contact with the Complainant. Officer B is alleged to have directed profanities at the Complainant, unlawfully searched the Complainant, failed to document his contact with the Complainant, witnessed police misconduct and failed to report it to the Department.",Police Officer,18,True,Use Of Force,Open Hand Strike (Slap),0,0
134,"In an incident involving an on-duty Sergeant, six on-duty CPD Officers (A, B, C, D, E, F), and the Complainant, it was alleged that the Sergeant struck the Complainant on the face, failed to complete a Tactical Response Report (TRR) regarding the incident, was found guilty of two counts of Aggravated Battery, was found guilty of Official Misconduct, and brought discredit upon the Department. It was also alleged that Officer A physically maltreated the Complainant by knocking his hat off his head, directed profanities at the Complainant, observed the Sergeant slap the Complainant without justification and failed to report it, and brought discredit upon the Department by physically maltreating the Complainant. Also, it was alleged that Officers B, C, and D observed the Sergeant slap the Complainant without justification and failed to report it. It was further alleged that Officer E observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, and put the incorrect time of incident on the General Offense Case Report for this incident. Finally, it was alleged that Officer F observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, falsely arrested the Complainant, put the incorrect time of incident on the General Offense Case Report for this incident and brought discredit upon the Department by failing to protect the Complainant.",Police Officer,14,True,Use Of Force,Open Hand Strike (Slap),0,0
136,"In an incident involving an on-duty Sergeant, six on-duty CPD Officers (A, B, C, D, E, F), and the Complainant, it was alleged that the Sergeant struck the Complainant on the face, failed to complete a Tactical Response Report (TRR) regarding the incident, was found guilty of two counts of Aggravated Battery, was found guilty of Official Misconduct, and brought discredit upon the Department. It was also alleged that Officer A physically maltreated the Complainant by knocking his hat off his head, directed profanities at the Complainant, observed the Sergeant slap the Complainant without justification and failed to report it, and brought discredit upon the Department by physically maltreating the Complainant. Also, it was alleged that Officers B, C, and D observed the Sergeant slap the Complainant without justification and failed to report it. It was further alleged that Officer E observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, and put the incorrect time of incident on the General Offense Case Report for this incident. Finally, it was alleged that Officer F observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, falsely arrested the Complainant, put the incorrect time of incident on the General Offense Case Report for this incident and brought discredit upon the Department by failing to protect the Complainant.",Police Officer,15,True,Use Of Force,Open Hand Strike (Slap),0,0
137,"In an incident involving an on-duty Sergeant, six on-duty CPD Officers (A, B, C, D, E, F), and the Complainant, it was alleged that the Sergeant struck the Complainant on the face, failed to complete a Tactical Response Report (TRR) regarding the incident, was found guilty of two counts of Aggravated Battery, was found guilty of Official Misconduct, and brought discredit upon the Department. It was also alleged that Officer A physically maltreated the Complainant by knocking his hat off his head, directed profanities at the Complainant, observed the Sergeant slap the Complainant without justification and failed to report it, and brought discredit upon the Department by physically maltreating the Complainant. Also, it was alleged that Officers B, C, and D observed the Sergeant slap the Complainant without justification and failed to report it. It was further alleged that Officer E observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, and put the incorrect time of incident on the General Offense Case Report for this incident. Finally, it was alleged that Officer F observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, falsely arrested the Complainant, put the incorrect time of incident on the General Offense Case Report for this incident and brought discredit upon the Department by failing to protect the Complainant.",Police Officer,16,True,Use Of Force,Open Hand Strike (Slap),0,0
138,"In an incident involving an on-duty Sergeant, six on-duty CPD Officers (A, B, C, D, E, F), and the Complainant, it was alleged that the Sergeant struck the Complainant on the face, failed to complete a Tactical Response Report (TRR) regarding the incident, was found guilty of two counts of Aggravated Battery, was found guilty of Official Misconduct, and brought discredit upon the Department. It was also alleged that Officer A physically maltreated the Complainant by knocking his hat off his head, directed profanities at the Complainant, observed the Sergeant slap the Complainant without justification and failed to report it, and brought discredit upon the Department by physically maltreating the Complainant. Also, it was alleged that Officers B, C, and D observed the Sergeant slap the Complainant without justification and failed to report it. It was further alleged that Officer E observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, and put the incorrect time of incident on the General Offense Case Report for this incident. Finally, it was alleged that Officer F observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, falsely arrested the Complainant, put the incorrect time of incident on the General Offense Case Report for this incident and brought discredit upon the Department by failing to protect the Complainant.",Police Officer,14,True,Use Of Force,Open Hand Strike (Slap),0,0
139,"In an incident involving an on-duty Sergeant, six on-duty CPD Officers (A, B, C, D, E, F), and the Complainant, it was alleged that the Sergeant struck the Complainant on the face, failed to complete a Tactical Response Report (TRR) regarding the incident, was found guilty of two counts of Aggravated Battery, was found guilty of Official Misconduct, and brought discredit upon the Department. It was also alleged that Officer A physically maltreated the Complainant by knocking his hat off his head, directed profanities at the Complainant, observed the Sergeant slap the Complainant without justification and failed to report it, and brought discredit upon the Department by physically maltreating the Complainant. Also, it was alleged that Officers B, C, and D observed the Sergeant slap the Complainant without justification and failed to report it. It was further alleged that Officer E observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, and put the incorrect time of incident on the General Offense Case Report for this incident. Finally, it was alleged that Officer F observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, falsely arrested the Complainant, put the incorrect time of incident on the General Offense Case Report for this incident and brought discredit upon the Department by failing to protect the Complainant.",Police Officer,12,True,Use Of Force,Open Hand Strike (Slap),0,0
140,"In an incident involving an on-duty Sergeant, six on-duty CPD Officers (A, B, C, D, E, F), and the Complainant, it was alleged that the Sergeant struck the Complainant on the face, failed to complete a Tactical Response Report (TRR) regarding the incident, was found guilty of two counts of Aggravated Battery, was found guilty of Official Misconduct, and brought discredit upon the Department. It was also alleged that Officer A physically maltreated the Complainant by knocking his hat off his head, directed profanities at the Complainant, observed the Sergeant slap the Complainant without justification and failed to report it, and brought discredit upon the Department by physically maltreating the Complainant. Also, it was alleged that Officers B, C, and D observed the Sergeant slap the Complainant without justification and failed to report it. It was further alleged that Officer E observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, and put the incorrect time of incident on the General Offense Case Report for this incident. Finally, it was alleged that Officer F observed the Sergeant slap the Complainant without justification and failed to report it, failed to protect the Complainant, falsely arrested the Complainant, put the incorrect time of incident on the General Offense Case Report for this incident and brought discredit upon the Department by failing to protect the Complainant.",Police Officer,18,True,Use Of Force,Open Hand Strike (Slap),0,0
141,"In an incident involving Officer A, it was alleged that Officer A got into a domestic altercation with Subject 1 for which he was arrested, and that he violated an Order of Protection when he contacted Subject 1 multiple times via telephone.",Police Officer,25,True,Domestic,Domestic Altercation - Physical Abuse,0,0
142,"In an incident involving two on-duty CPD Officers (Officers A and B), and a Complainant, it was alleged that Officer A struck the Complainant on the right side of the face without justification, unlawfully searched the Complainant, and failed to document his contact with the Complainant. Officer B is alleged to have directed profanities at the Complainant, unlawfully searched the Complainant, failed to document his contact with the Complainant, witnessed police misconduct and failed to report it to the Department.",Police Officer,19,True,Use Of Force,Open Hand Strike (Slap),0,0
143,"In an incident involving an on-duty CPD Officer and the Complainant, the Officer was alleged to have stopped and searched the Complainant without justification, pointed his weapon at the Complainant, threw him to the ground placing his knees on Complainants neck, struck him in the face with his fist, directed profanities at him and failed to complete departmental reports.",Police Officer,23,True,Use Of Force,Excessive Force / On Duty - Injury,0,0
144,"In an incident involving two on-duty CPD Officers (Officer A and B), an Unknown Officer, a Complainant and three Subjects (Subject 1, 2, and 3). Officer A was alleged to have punched Subject 1 about the face, back, and body, slammed Subject 1 against the wall, dragged Subject 1 across the floor, slapped Subject 1 about the face, directed profanities at Subject 1, directed profanities at Subject 2, and made racial comments to the individuals inside the residence. It also alleged that the Officer A was inattentive to duty because Subject 1 escaped from police custody, failed to make the required notifications relative to Subject 1s escape, and was inattentive to duty because he omitted the fact in departmental records that Subject 1 escaped from custody. Officer B is alleged to have kicked Subject 1 about the face and body, punched Subject 1 about the face, directed profanities at Subject 1, dragged Subject 1 across the ground, and observed police misconduct and failed to report it. Also, it is alleged that Officer B was inattentive to duty because Subject 1 escaped from police custody, was inattentive to duty because he omitted that Subject 1 escaped from police custody in departmental reports, and failed to make the required notifications relative to Subject 1s escape. Finally, it is alleged that an Unknown Officer punched Subject 3 and pushed the Complainant.",Police Officer,18,True,Use Of Force,Excessive Force / On Duty - No Injury,1,5
147,"In an incident involving an on-duty Lieutenant, Sergeant, and an Unknown Officer, it is alleged that the Lieutenant verbally insulted and directed profanities at Subject by calling him a derogatory name, told him to shut up, threatened to take Subjects infant child to the police station with him, caused the infant child to fall out of his baby carrier, causing the infant to strike his head on a table, and separated the infant child from the Subject while in police custody. Additional allegations against the Lieutenant were that he placed Subject in a headlock and choke hold, threw him on the ground and in the back of a police vehicle, struck him in the face with a police radio, failed to identify himself, and detained and falsely arrested Subject without justification. Allegations against the Sergeant were that he directed profanities at Subject and threw him in the back of a police vehicle. It was alleged the Unknown Officer refused bathroom privileges to Subject, threatened and directed profanities at him.",Lieutenant of Police,34,True,Use Of Force,Miscellaneous,1,4
150,"In an incident involving two on-duty CPD Officers (Officer A and B), an Unknown Officer, a Complainant and three Subjects (Subject 1, 2, and 3). Officer A was alleged to have punched Subject 1 about the face, back, and body, slammed Subject 1 against the wall, dragged Subject 1 across the floor, slapped Subject 1 about the face, directed profanities at Subject 1, directed profanities at Subject 2, and made racial comments to the individuals inside the residence. It also alleged that the Officer A was inattentive to duty because Subject 1 escaped from police custody, failed to make the required notifications relative to Subject 1s escape, and was inattentive to duty because he omitted the fact in departmental records that Subject 1 escaped from custody. Officer B is alleged to have kicked Subject 1 about the face and body, punched Subject 1 about the face, directed profanities at Subject 1, dragged Subject 1 across the ground, and observed police misconduct and failed to report it. Also, it is alleged that Officer B was inattentive to duty because Subject 1 escaped from police custody, was inattentive to duty because he omitted that Subject 1 escaped from police custody in departmental reports, and failed to make the required notifications relative to Subject 1s escape. Finally, it is alleged that an Unknown Officer punched Subject 3 and pushed the Complainant.",Sergeant of Police,20,True,Use Of Force,Excessive Force / On Duty - No Injury,1,5
151,"In an incident involving an Arrestee, an Officer, and a Detention Aide, it was alleged in the 5th District Mens Lockup that the Officer and Detention Aide failed to notify a sergeant of the Arrestee who was under their control and was at emotional risk; failed to notify a watch commander of the Arrestee who was under their control and was at emotional risk; failed to send the Arrestee who was under their control and was at emotional risk to the nearest hospital or mental intake facility; and failed to monitor and supervise the intoxicated Arrestee for changing or deteriorating conditions by keeping him within sight and sound.",Police Officer,16,True,Lockup Procedures,Proper Care - Injury / Death,0,0
153,"In an incident involving an on-duty CPD Officer, a Sergeant and the Complainant, it was alleged that the Officer detained the Complainant without justification, transported the Complainant to the hospital against his will, slammed the Complainant against a wall, directed profanities at the Complainant, and released the Complainant without approval from the watch commander. It was further alleged that the Sergeant released the Complainant without approval from the watch commander.",Police Officer,20,True,Use Of Force,Miscellaneous,0,0
154,"In an incident involving an on-duty CPD Officer, a Sergeant and the Complainant, it was alleged that the Officer detained the Complainant without justification, transported the Complainant to the hospital against his will, slammed the Complainant against a wall, directed profanities at the Complainant, and released the Complainant without approval from the watch commander. It was further alleged that the Sergeant released the Complainant without approval from the watch commander.",Sergeant of Police,30,True,Use Of Force,Miscellaneous,0,0
156,"In an incident involving four on-duty CPD Officers (A, B, C, and D), an unknown on-duty CPD officer (E) and five Complainants (1,2,3,4,and 5), Officers A and D were alleged to have directed profanities at the Complainants, knocked Complainant 1s head on a table, pushed Complainant 1 against a fence several times, punched Complainant 1 several times about the face and body, banged Complainant 1s head several times against the back window of a police vehicle, entered Complainant 1s residence without justification, handcuffed Complainant 1 too tightly, punched Complainant 1 in the face and groin several times, and failed to complete a Tactical Response Report (TRR). It was further alleged that Officers B and C struck Complainant 2 with an object several times about the body and made improper racial comments to Complainant 2. Finally, it was alleged that Officer E directed profanities at the Complainants, knocked Complainant 1s head on a table, pushed Complainant 1 against a fence several times, punched Complainant 1 several times about the face and body, banged Complainant 1s head several times against the back window of a police vehicle, broke Complainant 1s rear view mirror to his vehicle, handcuffed Complainant 3 too tightly and refused to loosen the handcuffs, made improper racial remarks to Complainant 4 and Complainant 2, handcuffed Complainant 1 too tightly and punched Complainant 1 in the face and groin several times.",Police Officer,15,True,Use Of Force,Closed Hand Strike (Punch),1,6
157,"In an incident involving four on-duty CPD Officers (A, B, C, and D), an unknown on-duty CPD officer (E) and five Complainants (1,2,3,4,and 5), Officers A and D were alleged to have directed profanities at the Complainants, knocked Complainant 1s head on a table, pushed Complainant 1 against a fence several times, punched Complainant 1 several times about the face and body, banged Complainant 1s head several times against the back window of a police vehicle, entered Complainant 1s residence without justification, handcuffed Complainant 1 too tightly, punched Complainant 1 in the face and groin several times, and failed to complete a Tactical Response Report (TRR). It was further alleged that Officers B and C struck Complainant 2 with an object several times about the body and made improper racial comments to Complainant 2. Finally, it was alleged that Officer E directed profanities at the Complainants, knocked Complainant 1s head on a table, pushed Complainant 1 against a fence several times, punched Complainant 1 several times about the face and body, banged Complainant 1s head several times against the back window of a police vehicle, broke Complainant 1s rear view mirror to his vehicle, handcuffed Complainant 3 too tightly and refused to loosen the handcuffs, made improper racial remarks to Complainant 4 and Complainant 2, handcuffed Complainant 1 too tightly and punched Complainant 1 in the face and groin several times.",Police Officer,14,True,Use Of Force,Closed Hand Strike (Punch),1,6
159,"In an incident involving three on-duty CPD members, Officers (A, B, and C), and two Victims (1 and 2), it was alleged that Officer A, B, and C entered and searched the Victims residence without justification or a warrant. It was also alleged that Officer A slammed and handcuffed Victim 2 and directed profanities at a witness. Additional allegations against Officer B were that he pushed Victim 1 and refused to identify himself upon request. It was further alleged that Officer C failed to identify himself as well.",Police Officer,19,True,Use Of Force,Take Down (Thrown To Ground),0,0
160,"In an incident involving an off-duty CPD Officer and the Complainant/spouse, it was alleged that the Officer repeatedly struck the Complainant/spouse on the face, restrained the Complainant/spouse by holding her down against the floor, pursued the Complainant/spouse from the residence as she attempted to get away, grabbed the Complainant/spouse about the body, and brought discredit upon the Department in that he was arrested for domestic battery.",Police Officer,14,True,Domestic,Domestic Altercation - Physical Abuse,0,0
161,It is alleged that Officer A engaged in an unjustified physical altercation with subject and failed to accurately report the details of that altercation in a TRR.,Police Officer,23,True,Lockup Procedures,Proper Care - Injury / Death,0,0
162,"In an incident involving three on-duty CPD members, Officers (A, B, and C), and two Victims (1 and 2), it was alleged that Officer A, B, and C entered and searched the Victims residence without justification or a warrant. It was also alleged that Officer A slammed and handcuffed Victim 2 and directed profanities at a witness. Additional allegations against Officer B were that he pushed Victim 1 and refused to identify himself upon request. It was further alleged that Officer C failed to identify himself as well.",Police Officer Assigned Evidence Technician,13,True,Use Of Force,Take Down (Thrown To Ground),0,0
163,"In an incident involving an on-duty Commander, it was alleged that the Commander violated general orders by failing to submit an Illinois Department of Corrections Report of Extraordinary or Unusual Occurrences (IDOC-REUO) to the State of Illinois Office of Jail and Detention Standards within 72 hours of an incident or its discovery when a Subject sustained an injury while the Subject was in custody, failing to ensure immediate notification by telephone to the operations command and the Independent Police Review Authority (IPRA) regarding the Subject having sustained an injury while the Subject was in custody, failing to ensure that the IDOC-REUO was completed before the Commanders end of tour regarding the Subject having sustained an injury while the Subject was in custody, failed to forward a copy of the completed IDOC-REUO to the records inquiry section prior to the end of the Commanders shift, failed to forward to the district commander or the commanding officer of central detention the completed IDOC-REUO, failed to review the completed IDOC-REUO and all accompanying reports for completeness, accuracy, and indicate approval by placing the Commanders signature in the space below the shift commander approval line. Finally, it is alleged that the Commander failed to forward the completed IDOC-REUO and all pertinent reports to the responsible deputy chief of patrol division area, and failed to retain a copy of the IDOC-REUO package in the unit of occurrence in accordance with existing records-retention requirements regarding a Subject having sustained an injury while in custody.",First Deputy Superintendent,34,True,Use Of Force,Civil Suits - Third Party,0,0
164,"In an incident involving two on-duty CPD Officers (Officers A and B), an Unknown Officer, and a Subject; it was alleged that Officer A struck the Subject on the head with a flashlight, dragged the Subject out of the police vehicle, and kicked and/or stomped the Subject about the body. Officer B was alleged to have choked the Subject, struck the Subject about the face, dragged the Subject out of the police vehicle and kicked and/or stomped the Subject about the body. Finally, it is alleged that an Unknown Officer kicked the Subject.",Police Officer,18,True,Use Of Force,Excessive Force / On Duty - Injury,0,0
165,"In an incident involving two on-duty CPD Officers (Officer A and Officer B) and the Complainant/minor, it was alleged that on February 7, 2012, Officer A detained, questioned, and searched the Complainant/minor without lawful justification, conducted a strip search of the Complainant/minor without justification, conducted a strip search of the Complainant/minor without proper authorization, grabbed the Complainant/minors genitals during a strip search, failed to complete any department records when he detained, questioned, and searched the Complainant/minor, observed misconduct and failed to take appropriate action and report it to the department. It was further alleged that on April 14, 2014, Officer A provided a false statement to the Independent Police Review Authority (IPRA) when he stated that he did not conduct a strip search of the Complainant/minor and when he stated that he did not observe Officer B hit the Complainant/minor with a metal walking crutch. It was alleged that on February 7, 2012, Officer B grabbed the Complainant/minor by his collar and forced him into the backroom of the store, detained, questioned, and searched the Complainant/minor without lawful justification, struck the Complainant/minor with his hand about the face and head, shoved the Complainant/minor against the wall, struck the Complainant/minor in the head with a metal walking crutch, grabbed the Complainant/minors genitals during a search of his person, conducted a strip search of the Complainant/minor without justification, conducted a strip search of the Complainant/minor without proper authorization, and failed to complete any department reports when he detained, questioned, and searched the Complainant/minor.",Police Officer,25,True,Use Of Force,"Impact Weapon - Unauthorized (Flashlight, Handcuffs, Etc)",0,0
166,"In an incident involving two on-duty CPD Officers (Officer A and Officer B) and the Complainant/minor, it was alleged that on February 7, 2012, Officer A detained, questioned, and searched the Complainant/minor without lawful justification, conducted a strip search of the Complainant/minor without justification, conducted a strip search of the Complainant/minor without proper authorization, grabbed the Complainant/minors genitals during a strip search, failed to complete any department records when he detained, questioned, and searched the Complainant/minor, observed misconduct and failed to take appropriate action and report it to the department. It was further alleged that on April 14, 2014, Officer A provided a false statement to the Independent Police Review Authority (IPRA) when he stated that he did not conduct a strip search of the Complainant/minor and when he stated that he did not observe Officer B hit the Complainant/minor with a metal walking crutch. It was alleged that on February 7, 2012, Officer B grabbed the Complainant/minor by his collar and forced him into the backroom of the store, detained, questioned, and searched the Complainant/minor without lawful justification, struck the Complainant/minor with his hand about the face and head, shoved the Complainant/minor against the wall, struck the Complainant/minor in the head with a metal walking crutch, grabbed the Complainant/minors genitals during a search of his person, conducted a strip search of the Complainant/minor without justification, conducted a strip search of the Complainant/minor without proper authorization, and failed to complete any department reports when he detained, questioned, and searched the Complainant/minor.",Police Officer,14,True,Use Of Force,"Impact Weapon - Unauthorized (Flashlight, Handcuffs, Etc)",0,0
167,"In an incident involving an on-duty CPD Officer and a Sergeant, it was alleged that the Sergeant pushed the Officer, which resulted in the Officer falling backwards and striking the Officers back on the edge of the desk. Also, it is alleged that the Sergeant directed profanities towards the Officer.",Sergeant of Police,29,True,Use Of Force,Miscellaneous,0,0
168,"In an incident involving two on-duty CPD Officers (Officers A and B), an Unknown Officer, and a Subject; it was alleged that Officer A struck the Subject on the head with a flashlight, dragged the Subject out of the police vehicle, and kicked and/or stomped the Subject about the body. Officer B was alleged to have choked the Subject, struck the Subject about the face, dragged the Subject out of the police vehicle and kicked and/or stomped the Subject about the body. Finally, it is alleged that an Unknown Officer kicked the Subject.",Police Officer,19,True,Use Of Force,Excessive Force / On Duty - Injury,0,0
169,"In an incident involving Officer A it was alleged that Officer A pointed his weapon, used profanity and a racial slur, and threatened Subject 1, as well as, engaged in a verbal and physical altercation with Subject 2.",Police Officer,18,True,Use Of Force,Unnecessary Display Of Weapon / Off Duty,1,10
170,"In an incident involving Officer A, it was alleged that Officer A repeatedly directed profanities at Subject 1, chest bumped him, grabbed him, choked him, and pushed him for refusing to give up his cell phone in school.",Police Officer,30,True,Use Of Force,Choked,0,0
171,"In an incident involving five on-duty CPD members including three Officers (A, B, and C), one unknown Officer, a Commander, and the Subject, it was alleged that the Commander pressed his hand against the Subjects nose/face, threatened the Subject, forcibly pressed his fingers into the Subjects neck, failed to submit a Tactical Response Report regarding his contact with the Subject, failed to document that the Subject had been uncooperative and refused to be fingerprinted, and failed to provide the Subject with medical treatment while in police custody. The allegations against Officer A were that he twisted the Subjects arm, failed to ensure the safety and welfare of the Subject from the Commanders physical and verbal abuse, failed to report the misconduct of the Commander, failed to provide the Subject with medical attention after she was physically abused by the Commander, and failed to properly document and report that the Subject had been uncooperative and physically restrained. The allegations against Officers B and C were that they observed misconduct and failed to take appropriate action, failed to ensure the welfare and safety of the Subject when they did not intervene during the misconduct of the Commander, failed to provide the Subject with medical attention after she was physically abused by the Commander, and failed to document that the Subject had been uncooperative and refused to be fingerprinted. Additional allegations against Officer B include charges she displayed her Taser and threatened the Subject without justification. Lastly, it was alleged that a Unknown Officer forcibly pressed his finger against the Subjects neck.",Police Officer,10,True,Use Of Force,Miscellaneous,1,3
172,"On September 20th, 2012, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving an on-duty Chicago Police Officer that occurred on September 20th, 2012 in the 14th District. It was alleged that the Officer contaminated a crime scene by failing to protect and preserve the crime scene; used profanities on more than one occasion towards an Evidence Technician; and used sexually-biased language in referencing an Evidence Technician. Based on statements from the accused Officer, the Evidence Technician, witnesses and Department reports, IPRA recommended to SUSTAIN the allegations that the Officer contaminated a crime scene by failing to protect and preserve the crime scene; used profanities on more than one occasion towards an Evidence Technician; and used sexually-biased language in referencing an Evidence Technician. IPRA recommended a fifty-five (55) day suspension for the accused Officer.",Police Officer,29,True,Verbal Abuse,Sexual Orientation,1,7
173,"In an incident involving two off-duty CPD Officers (Officer A and Complainant/Officer B), it was alleged that Officer A directed profanities at Complainant/Officer B, pushed, choked and struck Complainant/Officer B in the head and face. Officer A is also alleged to have left the scene of the incident and failing to report it to the Department. Finally, Officer A is alleged to have brought discredit upon the Department when he engaged in a verbal and physical altercation. Complainant/Officer B is alleged to have directed profanities towards Officer A and punched Officer A in the face. Complainant/Officer B is also alleged to have brought discredit upon the department by engaging in a verbal altercation. Finding: Officer A: During mediation, Officer A agreed to accept IPRAs finding of SUSTAINED and a penalty of a 2-day Suspension for the allegations that Officer A pushed and punched Complainant/Officer B, leaving the scene and failing to report the incident to the Department, and bringing discredit upon the Department by engaging in a verbal and physical altercation; NOT SUSTAINED for the allegations that he directed profanities at Complainant/Officer B and choked Complainant/Officer B. Complainant/Officer B: Based on statements from the accused Officer, the Complainant/Officer B, witnesses and department reports/records, IPRA recommended the following: a finding of SUSTAINED and a penalty of a 1-day Suspension for the allegations that Complainant/Officer B directed profanities towards Officer A, and for bringing discredit upon the Department by engaging in a verbal altercation; NOT SUSTAINED for the allegation that punched Officer A in the face.",Police Officer,26,True,Use Of Force,Excessive Force / Off Duty - Injury,1,4
