gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,White,Sergeant of Police,"",{Hospitalized},"{Excessive force,Shooting}",{Gun},Excessive force/serious,450000.00
M,White,Police Officer,"",{Hospitalized},"{Excessive force,Shooting}",{Gun},Excessive force/serious,450000.00
M,Hispanic,Police Officer,"",{Hospitalized},"{Excessive force,Shooting}",{Gun},Excessive force/serious,450000.00
M,White,Police Officer as Detective,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,Hispanic,Police Officer,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,White,Police Officer as Detective,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,Hispanic,Police Officer as Detective,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,White,Police Officer,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,White,Police Officer as Detective,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
F,White,Sergeant of Police,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,White,Police Officer as Detective,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,Hispanic,Police Officer,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,White,Police Officer,{Home invasion},"",{Legal access denied},{Physical force},Other police misconduct,2500.00
M,Black,Police Officer,{Lock-up},{Died in custody},{Failure to provide medical care},{Physical force},Failure to provide medical care,250000.00
M,White,Police Officer,{Lock-up},{Died in custody},{Failure to provide medical care},{Physical force},Failure to provide medical care,250000.00
M,White,Police Officer as Detective,"","","{Legal access denied,Strip search,Threats/intimidation,Excessive force}","",Excessive force/minor,3000.00
M,White,Police Officer as Detective,"","","{Legal access denied,Strip search,Threats/intimidation,Excessive force}","",Excessive force/minor,3000.00
M,Black,Sergeant of Police,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}","{False arrest or report,Excessive force}",{Physical force},False arrest,285000.00
M,Hispanic,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}","{False arrest or report,Excessive force}",{Physical force},False arrest,285000.00
M,White,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}","{False arrest or report,Excessive force}",{Physical force},False arrest,285000.00
M,Black,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}","{False arrest or report,Excessive force}",{Physical force},False arrest,285000.00
M,White,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}","{False arrest or report,Excessive force}",{Physical force},False arrest,285000.00
M,Black,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}","{False arrest or report,Excessive force}",{Physical force},False arrest,285000.00
M,Hispanic,Police Officer,"","{Assault or battery to an officer charges,Resisting or obstructing arrest charges,Hospitalized}","{False arrest or report,Excessive force}",{Physical force},False arrest,285000.00
M,White,Police Officer,{Stop and frisk},"{Hospitalized,Other charges filed}","{Excessive force,False arrest or report}",{Physical force},Excessive force/minor,8000.00
M,Hispanic,Police Officer as Detective,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Sergeant of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Lieutenant of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Chief,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Police Officer as Detective,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Superintendent of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Sergeant of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Deputy Superintendent,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,Asian/Pacific,Commander,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Police Officer as Detective,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Deputy Chief,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Police Officer as Detective,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Chief,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,Black,Chief,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Police Officer as Detective,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Superintendent of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
F,White,Police Officer as Detective,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Sergeant of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Lieutenant of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
M,White,Commander,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
F,White,Lieutenant of Police,"","{Died out of custody,Hospitalized}","{Destroy/conceal/fabricate evidence,Witness manipulation,False arrest or report}","",Other police misconduct,250000.00
F,White,Lieutenant of Police,{Protest},{Other charges filed},{Pattern/practice of misconduct},"",Monell,62500.00
M,White,Police Officer,{Protest},{Other charges filed},{Pattern/practice of misconduct},"",Monell,62500.00
M,White,Deputy Chief,{Protest},{Other charges filed},{Pattern/practice of misconduct},"",Monell,62500.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Deputy Chief,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Hispanic,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
F,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
F,White,Sergeant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer as Detective,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
F,Asian/Pacific,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Asian/Pacific,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer as Detective,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Hispanic,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer as Detective,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Sergeant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Hispanic,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Hispanic,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
F,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Hispanic,Lieutenant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Lieutenant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Sergeant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Lieutenant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
F,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Hispanic,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Sergeant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Captain of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Sergeant of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Hispanic,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
F,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,White,Captain of Police,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Black,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
M,Asian/Pacific,Police Officer,{Home invasion},{Assault or battery to an officer charges},"{Damage to property,Excessive force}","{Gun,Physical force}",Excessive force/minor,40000.00
F,Black,Police Officer,"",{Assault or battery to an officer charges},"{Excessive force,False arrest or report}",{Physical force},Malicious prosecution,56750.00
M,Black,Police Officer,"",{Assault or battery to an officer charges},"{Excessive force,False arrest or report}",{Physical force},Malicious prosecution,56750.00
F,White,Police Officer,"","{Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,4500.00
M,White,Police Officer,"","{Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,4500.00
M,Black,Police Officer,"","{Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,4500.00
M,White,Police Officer,{Home invasion},"{Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}","{Gun,Physical force}",Other police misconduct,100000.00
M,White,Police Officer,{Home invasion},"{Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}","{Gun,Physical force}",Other police misconduct,100000.00
M,Hispanic,Police Officer,{Traffic stop},"{Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,10000.00
F,White,Police Officer,{Traffic stop},"{Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,10000.00
M,White,Police Officer,{Traffic stop},"{Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,10000.00
M,Black,Police Officer,{Traffic stop},"{Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,10000.00
M,Hispanic,Sergeant of Police,"",{Other charges filed},"{Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,8500.00
M,White,Police Officer,"",{Other charges filed},"{Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,8500.00
M,White,Police Officer,"",{Other charges filed},"{Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,8500.00
M,White,Police Officer as Detective,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
F,White,Police Officer,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
M,White,Sergeant of Police,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
M,White,Lieutenant of Police,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
M,White,Sergeant of Police,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
F,White,Police Officer,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
M,White,Police Officer,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
M,White,Police Officer,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
M,White,Sergeant of Police,"",{Other charges filed},"{Excessive force,False arrest or report}",{Physical force},False arrest,48000.00
M,White,Sergeant of Police,{Home invasion},"{Assault or battery to an officer charges,Resisting or obstructing arrest charges}","{Damage to property,Threats/intimidation,Excessive force,Stolen property,Illegal search/seizure,False arrest or report}","",Illegal search/seizure,100000.00
M,Black,Police Officer,{Home invasion},"{Assault or battery to an officer charges,Resisting or obstructing arrest charges}","{Damage to property,Threats/intimidation,Excessive force,Stolen property,Illegal search/seizure,False arrest or report}","",Illegal search/seizure,100000.00
F,Black,Police Officer,{Home invasion},"{Assault or battery to an officer charges,Resisting or obstructing arrest charges}","{Damage to property,Threats/intimidation,Excessive force,Stolen property,Illegal search/seizure,False arrest or report}","",Illegal search/seizure,100000.00
M,Hispanic,Sergeant of Police,{Home invasion},"{Assault or battery to an officer charges,Resisting or obstructing arrest charges}","{Damage to property,Threats/intimidation,Excessive force,Stolen property,Illegal search/seizure,False arrest or report}","",Illegal search/seizure,100000.00
M,White,Police Officer,{Stop and frisk},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,100000.00
M,White,Police Officer,{Stop and frisk},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,100000.00
F,White,Police Officer,{Stop and frisk},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,100000.00
F,Hispanic,Police Officer,{Stop and frisk},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,100000.00
M,Hispanic,Police Officer as Detective,"","","{Threats/intimidation,Excessive force,Sexual harassment/abuse,False arrest or report}",{Physical force},False arrest,50000.00
M,White,Police Officer,"","","{Threats/intimidation,Excessive force,Sexual harassment/abuse,False arrest or report}",{Physical force},False arrest,50000.00
M,Black,Police Officer,{Traffic stop},{Other charges filed},{False arrest or report},"",Dui stop,41000.00
M,Black,Sergeant of Police,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
F,Black,Police Officer / Field Training Officer,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,White,Sergeant of Police,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,White,Lieutenant of Police,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,Black,Police Officer,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,Black,Police Officer,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,White,Sergeant of Police,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,White,Lieutenant of Police,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,Black,Police Officer,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,Black,Police Officer,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,Hispanic,Lieutenant of Police,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,Black,Police Officer,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,Black,Police Officer,"","{Died in custody,Hospitalized}",{Excessive force},"{Taser,Nightstick}",Excessive force/serious,2855091.00
M,White,Police Officer,{Home invasion},{Hospitalized},"{Racial epithets,Excessive force}",{Physical force},Excessive force/minor,2000.00
M,White,Police Officer,{Home invasion},{Hospitalized},"{Racial epithets,Excessive force}",{Physical force},Excessive force/minor,2000.00
M,Black,Lieutenant of Police,"","{Other charges filed,Resisting or obstructing arrest charges}","{Threats/intimidation,False arrest or report}","",False arrest,71000.00
M,White,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,35000.00
M,Hispanic,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,35000.00
F,Hispanic,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,35000.00
F,White,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,35000.00
M,Hispanic,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,35000.00
M,White,Police Officer,"","{Weapons charges,Assault or battery to an officer charges}",{Excessive force},"",Excessive force/serious,100000.00
M,Hispanic,Police Officer,"","{Weapons charges,Assault or battery to an officer charges}",{Excessive force},"",Excessive force/serious,100000.00
M,White,Police Officer,"",{Hospitalized},{Excessive force},{Physical force},Excessive force,62500.00
M,Hispanic,Police Officer,"",{Hospitalized},{Excessive force},{Physical force},Excessive force,62500.00
M,White,Police Officer,"",{Hospitalized},{Excessive force},{Physical force},Excessive force,62500.00
M,White,Sergeant of Police,"",{Hospitalized},{Excessive force},{Physical force},Excessive force,62500.00
M,White,Police Officer,"",{Hospitalized},{Excessive force},{Physical force},Excessive force,62500.00
M,White,Police Officer,"",{Hospitalized},{Excessive force},{Physical force},Excessive force,62500.00
M,White,Police Officer,"",{Hospitalized},{Excessive force},{Physical force},Excessive force,62500.00
M,White,Police Officer,{Stop and frisk},"{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},Excessive force/minor,7500.00
M,White,Police Officer as Detective,{Stop and frisk},"{Hospitalized,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},Excessive force/minor,7500.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Captain of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Lieutenant of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer as Detective,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Lieutenant of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Sergeant of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,Asian/Pacific,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Captain of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,Black,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Sergeant of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,Hispanic,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,Hispanic,Lieutenant of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,White,Sergeant of Police,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,Hispanic,Police Officer,{Home invasion},"","{Damage to property,Excessive force}",{Gun},Other police misconduct,45000.00
M,Hispanic,Police Officer,{Traffic stop},{Hospitalized},"{Racial epithets,Excessive force}","{Taser,Gun,Physical force}",Excessive force,75000.00
M,Hispanic,Police Officer,{Traffic stop},{Hospitalized},"{Racial epithets,Excessive force}","{Taser,Gun,Physical force}",Excessive force,75000.00
M,Hispanic,Police Officer as Detective,{Traffic stop},{Hospitalized},"{Racial epithets,Excessive force}","{Taser,Gun,Physical force}",Excessive force,75000.00
M,Hispanic,Police Officer,{Home invasion},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,25000.00
M,Black,Police Officer,{Home invasion},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,25000.00
M,Black,Police Officer,{Home invasion},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,25000.00
M,White,Police Officer,{Home invasion},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,25000.00
M,White,Lieutenant of Police,{Home invasion},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,25000.00
M,White,Police Officer,{Home invasion},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,25000.00
M,White,Sergeant of Police,{Home invasion},{Weapons charges},"{Destroy/conceal/fabricate evidence,False arrest or report}","",False arrest,25000.00
M,Black,Police Officer,{Traffic stop},{Other charges filed},{False arrest or report},"",Dui stop,75000.00
M,White,Sergeant of Police,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
F,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,Black,Commander,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Lieutenant of Police,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Lieutenant of Police,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
F,Hispanic,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Sergeant of Police,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Sergeant of Police,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
M,White,Police Officer,"","","{Excessive force,False arrest or report}","{Pepper spray,Nightstick}",Excessive force/serious,395000.00
